Location,Hospital_Name,State,District,Pincode,Hospital_Fax,Website
"27-E Pattunoolkara Street, Ariyalur",A.S. Nursing Home,Tamil Nadu,Ariyalur,621704,0,0
"Bus Stand Back Side,Near Avarikarai,.",Ezhil Surgical and Maternity Hospital,Tamil Nadu,Ariyalur,621704,0,0
"81 A, Periyar Nagar Main Rd,,.",Golden Hospital,Tamil Nadu,Ariyalur,621704,0,0
"5, Perumal Kovil St,,.",Nivedha Hospital,Tamil Nadu,Ariyalur,621704,0,0
"34 A, West Vellala St,,Udayarpalayam (Tlk).",Prasath Surgical Care,Tamil Nadu,Ariyalur,621804,0,0
"No.22/2, Esi Hospital Road",Abhijay Hospital (P) Ltd,Tamil Nadu,Chennai,600001,0,0
Mint Street,Apollo City Center,Tamil Nadu,Chennai,600001,0,0
"57, Portuguese, Church St",Dr D Mohamed Kizhar Irshath Nursing Home,Tamil Nadu,Chennai,600001,0,0
"No.4,2Nd Street",Dr.E.V.Kalyani Medical Foundation,Tamil Nadu,Chennai,600001,0,0
"12, Jaffer Serang St,Ii Line Beach Road,.",Dr.Kamakshi National Hospital,Tamil Nadu,Chennai,600001,25223373,0
"No,18,Nowroji Road",Dr.Manju Kulkarni Hospital,Tamil Nadu,Chennai,600001,0,0
"453 And 454, R.K. Shanmugam Salai, K.K. Nagar",K M Speciality Hospital,Tamil Nadu,Chennai,600001,0,0
A-1 Srinivasapuram Thiruvanmiyur,R.M. Hospital,Tamil Nadu,Chennai,600001,0,0
"No. 13, 7Th Street,Nanganallur",Rotary Central Margaret Sidney Hospital,Tamil Nadu,Chennai,600001,"22322664, 22325466",0
"74, Thambu Chetty Street, Mannady",S S Eye Hospital,Tamil Nadu,Chennai,600001,0,0
"29, 7Th Avenue, Ashok Nagar, Next To Titan Showroom",Shri Saai Krs Hospitals,Tamil Nadu,Chennai,600001,0,0
"Porur, Chennai-600116",Sree Ramachandra Medical Center,Tamil Nadu,Chennai,600001,0,0
"12, First Main Road Kasturba Nagar Adyar",Sri Kalyan Hospital,Tamil Nadu,Chennai,600001,0,0
"No.2, Jawaharlal Street, New Perungalathur",Sri Kamatchi Nursing Home,Tamil Nadu,Chennai,600001,044  22790621,0
"No. 3A, Baroda Street, West Mambalam, T Nagar",Sri Meenakshi Nursing Home,Tamil Nadu,Chennai,600001,4424816040,0
"11, Gopalakrishna Street, T Nagar",Sri Ramana Eye Center,Tamil Nadu,Chennai,600001,0,0
Old No 158 (New No 174) Govindappa Naick Street,The Arya Vysya Meternity Home and Child Welfare Centre,Tamil Nadu,Chennai,600001,0,0
"320, Mount Road",Apollo Speciality Hospital,Tamil Nadu,Chennai,600002,0,0
"3/2,Appavood Street",Lister Nursing Home,Tamil Nadu,Chennai,600002,0,0
"19/10, Thayar Street, Mount Road",Mysaan Hospital,Tamil Nadu,Chennai,600002,0,0
"138/2 L B Road,Thiruvanmiyur",Ponraj Eye Clinic,Tamil Nadu,Chennai,600002,0,0
"No.2/614""A"",Philios Street,Neelangarai,",Sahishnatha Indtitute Of Maternal And Child Haelth,Tamil Nadu,Chennai,600002,0,0
"Mudholkar Peth, Near Garden, Opp Potode Marvati",Aashirwad Maternity and Child Care Research Institut,Tamil Nadu,Chennai,600003,0,0
Government General Hospital,Government General Hospital,Tamil Nadu,Chennai,600003,0,0
